seq,sample_id,audio,gt_azimuth_deg,pred_azimuth_deg,error_deg,pred_offset_deg,pred_corrected_azimuth_deg,corrected_error_deg,distance_m
data/test/clock3,0071,data/test/clock3/audio/0071.wav,69.963588,-67.000000,136.963588,77.000000,10.000000,59.963588,2.292670
data/test/clock3,0072,data/test/clock3/audio/0072.wav,70.805627,-65.500000,136.305627,77.000000,11.500000,59.305627,2.314970
data/test/clock3,0073,data/test/clock3/audio/0073.wav,71.686961,-62.500000,134.186961,77.000000,14.500000,57.186961,2.338610
data/test/clock3,0074,data/test/clock3/audio/0074.wav,72.486318,-61.500000,133.986318,77.000000,15.500000,56.986318,2.361945
data/test/clock3,0075,data/test/clock3/audio/0075.wav,73.505874,-61.000000,134.505874,77.000000,16.000000,57.505874,2.385161
data/test/clock3,0076,data/test/clock3/audio/0076.wav,74.369108,-59.000000,133.369108,77.000000,18.000000,56.369108,2.406280
data/test/clock3,0077,data/test/clock3/audio/0077.wav,75.711534,-53.000000,128.711534,77.000000,24.000000,51.711534,2.426837
data/test/clock3,0078,data/test/clock3/audio/0078.wav,77.075195,-51.000000,128.075195,77.000000,26.000000,51.075195,2.447409
data/test/clock3,0079,data/test/clock3/audio/0079.wav,78.545085,-45.000000,123.545085,77.000000,32.000000,46.545085,2.470421
data/test/clock3,0080,data/test/clock3/audio/0080.wav,80.242579,-37.500000,117.742579,77.000000,39.500000,40.742579,2.490210
data/test/clock3,0081,data/test/clock3/audio/0081.wav,81.624599,-32.500000,114.124599,77.000000,44.500000,37.124599,2.504856
data/test/clock3,0082,data/test/clock3/audio/0082.wav,83.481325,-28.500000,111.981325,77.000000,48.500000,34.981325,2.520292
data/test/clock3,0083,data/test/clock3/audio/0083.wav,85.190170,-27.500000,112.690170,77.000000,49.500000,35.690170,2.538165
data/test/clock3,0084,data/test/clock3/audio/0084.wav,86.913167,-24.500000,111.413167,77.000000,52.500000,34.413167,2.554878
data/test/clock3,0085,data/test/clock3/audio/0085.wav,88.840120,-18.000000,106.840120,77.000000,59.000000,29.840120,2.569335
data/test/clock3,0086,data/test/clock3/audio/0086.wav,90.773330,-14.500000,105.273330,77.000000,62.500000,28.273330,2.583737
data/test/clock3,0087,data/test/clock3/audio/0087.wav,92.575797,-12.000000,104.575797,77.000000,65.000000,27.575797,2.595878
data/test/clock3,0088,data/test/clock3/audio/0088.wav,94.337289,-10.000000,104.337289,77.000000,67.000000,27.337289,2.610472
data/test/clock3,0089,data/test/clock3/audio/0089.wav,96.126791,-6.500000,102.626791,77.000000,70.500000,25.626791,2.616374
data/test/clock3,0090,data/test/clock3/audio/0090.wav,97.884923,-5.500000,103.384923,77.000000,71.500000,26.384923,2.621780
data/test/clock3,0091,data/test/clock3/audio/0091.wav,99.641067,-2.000000,101.641067,77.000000,75.000000,24.641067,2.625073
data/test/clock3,0092,data/test/clock3/audio/0092.wav,101.437509,-2.000000,103.437509,77.000000,75.000000,26.437509,2.626558
data/test/clock3,0093,data/test/clock3/audio/0093.wav,103.250966,1.000000,102.250966,77.000000,78.000000,25.250966,2.625983
data/test/clock3,0094,data/test/clock3/audio/0094.wav,105.007383,2.000000,103.007383,77.000000,79.000000,26.007383,2.627886
data/test/clock3,0095,data/test/clock3/audio/0095.wav,106.828188,3.500000,103.328188,77.000000,80.500000,26.328188,2.631535
data/test/clock3,0096,data/test/clock3/audio/0096.wav,109.228611,6.000000,103.228611,77.000000,83.000000,26.228611,2.631180
data/test/clock3,0097,data/test/clock3/audio/0097.wav,111.352595,7.000000,104.352595,77.000000,84.000000,27.352595,2.628683
data/test/clock3,0098,data/test/clock3/audio/0098.wav,113.699652,8.500000,105.199652,77.000000,85.500000,28.199652,2.625870
data/test/clock3,0099,data/test/clock3/audio/0099.wav,115.800844,8.500000,107.300844,77.000000,85.500000,30.300844,2.618141
data/test/clock3,0100,data/test/clock3/audio/0100.wav,118.192872,9.500000,108.692872,77.000000,86.500000,31.692872,2.614542
